player_id,passes,carries,goal_threat,receptions,total_actions,team_passes,team_carries,team_goal_threat,team_receptions,team_total_actions,pass_tendency,carry_tendency,goal_threat_tendency,reception_tendency,pass_influence,carry_influence,goal_threat_influence,reception_influence,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15
630816,15695,12420,837,985,29937,684594,551836,29142,41610,1307182,0.5242676286869091,0.41487122958212247,0.027958713297925646,0.032902428433042724,0.02292599701428876,0.022506686769257534,0.02872143298332304,0.02367219418409036,-164.95624,163.14409,167.546,-162.44675,167.6938,-153.42747,151.3321,157.56555,-167.67563,-144.15921,-164.55145,-165.4927,-171.3673,-148.11841,-159.04819,-162.66853
643529,33284,25386,1406,2084,62160,1158492,871046,45981,78249,2153768,0.5354568854568854,0.4083976833976834,0.02261904761904762,0.03352638352638353,0.028730453037224254,0.02914427022223855,0.0305778473717405,0.026632928216335033,-148.33685,145.357,151.05835,-145.9186,151.44832,-139.77855,134.058,140.41328,-149.10033,-128.15033,-148.29073,-145.77382,-152.08107,-132.26006,-141.74152,-145.39687
710448,59435,45968,2492,3612,111507,823896,636560,35069,51275,1546800,0.533015864474876,0.41224317755835954,0.022348372747899234,0.032392585218865184,0.07213895928612349,0.07221314565791127,0.0710599104622316,0.07044368600682593,-138.40703,138.56801,140.49443,-137.96252,140.68886,-130.87881,126.1143,133.1102,-141.44183,-122.22118,-138.22377,-137.8866,-143.95264,-124.24145,-133.38991,-136.97226
721152,119015,90447,4607,6934,221003,1877698,1415078,70996,107925,3471697,0.5385221015099343,0.40925688791554865,0.02084587087053117,0.03137513970398592,0.0633834620902829,0.06391661802388278,0.06489097977350837,0.06424832059300441,-228.5362,226.73842,232.26213,-225.59581,232.51617,-213.51106,209.56412,219.4984,-232.85866,-200.21877,-228.39584,-228.75375,-237.10757,-204.60442,-220.89699,-225.35709
814501,102832,81728,4846,5533,194939,1301571,1033373,60816,71276,2467036,0.5275086052560032,0.41924909843592095,0.024859058474702343,0.028383237833373518,0.07900606267349226,0.07908857692236976,0.07968297816364114,0.07762781300858634,-182.28914,176.88281,185.25801,-177.94444,185.63557,-171.66127,165.21506,171.09108,-183.38562,-156.82742,-181.429,-178.33784,-185.56091,-161.26219,-173.77924,-177.24318
857688,162062,121569,6065,9794,299490,2083882,1566842,77700,123910,3852334,0.5411265818558215,0.4059200641089853,0.02025109352566029,0.03270226050953287,0.0777692786827661,0.07758855072815256,0.07805662805662805,0.07904123960939391,-190.70798,189.33182,194.18742,-188.31482,193.15762,-175.64313,174.15004,184.35771,-193.93532,-168.12036,-189.58025,-192.67615,-198.96547,-171.31789,-184.6712,-189.60245
1002264,78274,62059,3475,4861,148669,1277296,1009574,60404,75120,2422394,0.5264984630286071,0.41743066812852714,0.02337407260424164,0.03269679623862406,0.06128101865190214,0.06147048160907472,0.05752930269518575,0.064709797657082,-191.39464,188.94557,195.05748,-189.21259,194.88747,-180.14687,173.64044,182.87918,-193.48088,-166.82082,-191.65244,-189.58835,-198.06824,-171.30559,-183.73296,-188.95279
18337,157060,125104,6582,9104,297850,1849114,1475482,78254,107278,3510128,0.5273124055732752,0.4200235017626322,0.022098371663589054,0.030565721000503608,0.08493797570079509,0.08478856400823595,0.08411071638510491,0.0848636253472287,-211.13545,210.53636,214.6569,-208.57474,214.78442,-196.61475,194.08003,203.78287,-215.6662,-185.9641,-211.43053,-212.30502,-220.12239,-189.54689,-204.67421,-208.80725
19227,59203,47788,2346,3903,113240,1129602,910677,42142,69274,2151695,0.5228099611444719,0.4220063581773225,0.02071706110914871,0.03446661956905687,0.052410495023911076,0.052475246437540424,0.055668928859570026,0.056341484539654124,-169.11302,165.68198,172.4845,-166.15877,172.6414,-159.11057,153.15071,160.11046,-170.18909,-145.746,-169.36824,-165.923,-173.5885,-150.5505,-161.73181,-165.70348
29287,36370,26423,1530,2338,66661,404266,293187,17429,26304,741186,0.5455963756919339,0.39637869218883603,0.022951950915827846,0.03507298120340229,0.08996551775316253,0.09012336836217158,0.08778472660508348,0.0888838199513382,-217.79762,215.37468,221.01367,-214.41713,221.43819,-204.16434,199.5634,208.13315,-221.75278,-190.42511,-217.4752,-216.82948,-224.92395,-194.2336,-209.934,-213.61243
